"id","postingdate","username","permalink","header","posting_type","recipients","impact","likesfavorites","sharesretweets","reach"
"6783580730","2017-01-25T15:56:29.000000","whcorn","http://twitter.com/whcorn/statuses/824269717179400192","RT @WoudloperArend: Nest met 17eieren van een nijlgans in boomholte. Normaal in deze tijd?  Nee, kuikens hebben weinig kans, oa door ge https://t.co/tUYini9goD","0","[]","12","0","3","912"
"6783580738","2017-01-25T15:56:28.000000","Warmetruiendag","http://twitter.com/Warmetruiendag/statuses/824269713006067712","RT @HU_Utrecht: De #HU doet weer mee aan @WarmeTruiendag! Hoeveel graden mag van jou de verwarming lager op die dag? Vul de poll in https://t.co/KoTA1rFtKF","0","[]","250","0","1","5666"
"6783580747","2017-01-25T15:54:52.000000","shquist","http://twitter.com/shquist/statuses/824269308620636161","@hetblauweboekje @stefandevries @MinPres Wanneer Tunesi haar deuren opent voor Algerije kan Frankrijk nieuwe toestroom verwachten.","1","[u'hetblauweboekje']","1","0","0","1"
"6783595314","2017-01-25T16:03:04.000000","Mitchi2002gamer","http://twitter.com/Mitchi2002gamer/statuses/824271374621507585","Ik vind een @YouTube-video van @spooky1611 leuk: http://youtu.be/xY8KhIC70bI?a TROLLGAME! (Super Mario 3D world)","0","[]","1","0","0","28"
"6783595291","2017-01-25T15:59:53.000000","turkse_soldaat","http://twitter.com/turkse_soldaat/statuses/824270571856953344","@stroper2005 @FSchoen66 Lees wat in mijn bio staat","1","[u'stroper2005']","1","0","0","1"
"6852893486","2017-02-26T20:51:48.000000","DorienV_","http://twitter.com/DorienV_/statuses/835940449026248704","RT @AnkeStrubbe: Dringend op zoek naar een bowlingkegelpak  Sharing is caring!  https://t.co/K6TmRtO5k0","0","[]","1","0","8","228"
"6852895701","2017-02-26T20:52:04.000000","janssen_taco","http://twitter.com/janssen_taco/statuses/835940515963109376","#bzv filmpje van boer Herman gelijk opsturen naar midden oosten dan weten Jihad terroristen hoe het is met 70 maagden, 5 is al een drama ","0","[]","1","0","0","79"
"6852888095","2017-02-26T20:43:23.000000","SterkliniekApd","http://twitter.com/SterkliniekApd/statuses/835938329283690505","Fijne zondagavond! http://fb.me/1STYWsUre","0","[]","12","0","0","341"
"6852888374","2017-02-26T20:50:00.000000","JosevanDaal1","http://twitter.com/JosevanDaal1/statuses/835939993319272448","Iemand een #familieopstelling of #organisatieopstelling van ZO cadeau doen?  #cadeaubon #ondernemen #zichtbaar https://t.co/NOkGUDQUvT","0","[]","1000","0","0","312"
"6852890890","2017-02-26T20:50:42.000000","Qunera","http://twitter.com/Qunera/statuses/835940173074612226","De bloemetjesschilderijen op de achtergrond bij David zijn mooi! #bzv","0","[]","1","0","0","23"
"6852896029","2017-02-26T20:42:05.000000","nkoclw","http://twitter.com/nkoclw/statuses/835938001951784960","Gro?e Bruste Asian Teen GFs! http://bit.ly/2myIfYa","0","[]","1","0","0","880"
"6852900423","2017-02-26T20:54:08.000000","BowlingStFrans","http://twitter.com/BowlingStFrans/statuses/835941034420920322","Met Mental Theo en Dave Roelvink feest in de tent naar stilte in de zaal voor de Bingo met Arie en Brent","0","[]","1","0","0","22"
"6852898579","2017-02-26T20:53:39.000000","floortjezijm","http://twitter.com/floortjezijm/statuses/835940911876091905","RT @Klif12: Nog een terugblik op de voorstelling van de Andersons met gast Michiel Uitdehaag. http://fb.me/1RjLWV7HM","0","[]","1","0","1","89"
"6852904485","2017-02-26T20:55:50.000000","NickyBouwers","http://twitter.com/NickyBouwers/statuses/835941462151954433","RT @mariannezw: Wij ook ja, gevangen in het wereldbeeld van een man die geen open blik op de wereld meer kn hebben.","0","[]","60","0","2","1238"
"6852904526","2017-02-26T20:55:40.000000","WerkZoeken_nl","http://twitter.com/WerkZoeken_nl/statuses/835941419181203456","#Vacature #Hilversum | planner: De hele dag door ben je bezig met het boeken en reserveren van uiteenlopende https://twitter.com/i/web/status/835941419181203456","0","[]","12","0","0","855"
"6746980981","2017-01-01T00:14:22.000000","hansvreijswoud","http://twitter.com/hansvreijswoud/statuses/815335316152262656","Gelukkig Nieuwjaar ","0","[]","1","0","0","85"
"6746980855","2017-01-01T00:11:13.000000","P2000Regio17","http://twitter.com/P2000Regio17/statuses/815334522774548486","0:10:59 P 1 Brand wegvervoer Bredestraat Rotterdam 170532 Vak: 5991040","0","[]","60","0","0","784"
"6746980886","2017-01-01T00:14:31.000000","nienkesnippex","http://twitter.com/nienkesnippex/statuses/815335356652457984","Gelukkig nieuwjaar !","0","[]","12","0","0","77"
