"","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore","Distance"
"Precision311",0,0,NA,0.527855711422846,-0.0763959846329075,0.827777777778,0.614222222222,0.705186555025,361
"Precision310",0,0,NA,0.526901803607214,-0.0758181902067366,0.827855153203,0.61272,0.704223460113,360
"Precision309",0,0,NA,0.525963927855711,-0.0752319690029771,0.827932960894,0.611235555556,0.703270058413,359
"Precision308",0,0,NA,0.525042084168337,-0.0746373438456884,0.828011204482,0.609768888889,0.702326419002,358
"Precision307",0,0,NA,0.52413627254509,-0.0740343361644419,0.82808988764,0.60832,0.701392610541,357
"Precision306",0,0,NA,0.523246492985972,-0.0734229660165599,0.828169014085,0.606888888889,0.700468701268,356
"Precision305",0,0,NA,0.522372745490982,-0.0728032521085564,0.828248587571,0.605475555556,0.699554758984,355
"Precision304",0,0,NA,0.52151503006012,-0.0721752118167957,0.828328611898,0.60408,0.698650851048,354
"Precision303",0,0,NA,0.520673346693387,-0.0715388612073982,0.828409090909,0.602702222222,0.69775704436,353
"Precision302",0,0,NA,0.519847695390782,-0.0708942150554116,0.82849002849,0.601342222222,0.696873405356,352
"Precision301",0,0,NA,0.519038076152305,-0.0702412868632707,0.828571428571,0.6,0.696,351
"Precision300",0,0,NA,0.518244488977956,-0.0695800888785666,0.828653295129,0.598675555556,0.695136893767,350
"Precision299",0,0,NA,0.517466933867735,-0.0689106321111418,0.828735632184,0.597368888889,0.694284151638,349
"Precision298",0,0,NA,0.516705410821643,-0.0682329263495352,0.828818443804,0.59608,0.693441838092,348
"Precision297",0,0,NA,0.515959919839679,-0.0675469801767901,0.828901734104,0.594808888889,0.692610017089,347
"Precision296",0,0,NA,0.515230460921844,-0.0668528009856456,0.828985507246,0.593555555556,0.691788752069,346
"Precision295",0,0,NA,0.514517034068136,-0.0661503949931271,0.829069767442,0.59232,0.690978105935,345
"Precision294",0,0,NA,0.513819639278557,-0.0654397672545514,0.82915451895,0.591102222222,0.690178141049,344
"Precision293",0,0,NA,0.513138276553106,-0.0647209216769627,0.829239766082,0.589902222222,0.689388919218,343
"Precision292",0,0,NA,0.512472945891784,-0.0639938610320152,0.829325513196,0.58872,0.688610501688,342
"Precision291",0,0,NA,0.511823647294589,-0.0632585869683112,0.829411764706,0.587555555556,0.687842949132,341
"Precision290",0,0,NA,0.511190380761523,-0.0625151000232172,0.829498525074,0.586408888889,0.687086321643,340
"Precision289",0,0,NA,0.510573146292585,-0.0617633996341619,0.829585798817,0.58528,0.686340678724,339
"Precision288",0,0,NA,0.509971943887776,-0.0610034841494348,0.829673590504,0.584168888889,0.685606079276,338
"Precision287",0,0,NA,0.509386773547094,-0.0602353508384945,0.829761904762,0.583075555556,0.684882581595,337
"Precision286",0,0,NA,0.508817635270541,-0.0594589959017992,0.829850746269,0.582,0.684170243356,336
"Precision285",0,0,NA,0.508264529058116,-0.0586744144801698,0.82994011976,0.580942222222,0.68346912161,335
"Precision284",0,0,NA,0.50772745490982,-0.0578816006636975,0.83003003003,0.579902222222,0.682779272772,334
"Precision283",0,0,NA,0.507206412825651,-0.0570805475002037,0.830120481928,0.57888,0.682100752614,333
"Precision282",0,0,NA,0.506701402805611,-0.0562712470032634,0.830211480363,0.577875555556,0.681433616254,332
"Precision281",0,0,NA,0.506212424849699,-0.0554536901598028,0.830303030303,0.576888888889,0.68077791815,331
"Precision280",0,0,NA,0.505739478957916,-0.0546278669372764,0.830395136778,0.57592,0.680133712091,330
"Precision279",0,0,NA,0.505282565130261,-0.053793766290435,0.830487804878,0.574968888889,0.679501051187,329
"Precision278",0,0,NA,0.504841683366734,-0.0529513761676927,0.830581039755,0.574035555556,0.678879987865,328
"Precision277",0,0,NA,0.504416833667335,-0.0521006835170968,0.830674846626,0.57312,0.678270573856,327
"Precision276",0,0,NA,0.504008016032064,-0.0512416742919159,0.830769230769,0.572222222222,0.677672860189,326
"Precision275",0,0,NA,0.503615230460922,-0.0503743334558427,0.830864197531,0.571342222222,0.677086897186,325
"Precision274",0,0,NA,0.503238476953908,-0.0494986449878295,0.830959752322,0.57048,0.676512734449,324
"Precision273",0,0,NA,0.502877755511022,-0.048614591886553,0.831055900621,0.569635555556,0.675950420859,323
"Precision272",0,0,NA,0.502533066132264,-0.0477221561745217,0.831152647975,0.568808888889,0.675400004561,322
"Precision271",0,0,NA,0.502204408817635,-0.0468213189018274,0.83125,0.568,0.674861532964,321
"Precision270",0,0,NA,0.501891783567134,-0.0459120601495481,0.831347962382,0.567208888889,0.674335052729,320
